編號,日期,時間,震央位置,緯度,經度,相對位置,震度,規模,深度
,2023-01-29,23:15,北緯 23.21 ° 東經 120.8 °, 23.21 , 120.8 ,高雄市政府東北方  81.9  公里 ,4級,3.2,4.7
,2023-01-27,06:40,北緯 23.27 ° 東經 121.24 °, 23.27 , 121.24 ,花蓮縣政府南南西方  89.2  公里 ,2級,3.5,16.8
,2023-01-24,22:37,北緯 23.07 ° 東經 121.28 °, 23.07 , 121.28 ,臺東縣政府北北東方  37.3  公里 ,3級,3.7,7.7
,2023-01-24,12:17,北緯 23.44 ° 東經 121.29 °, 23.44 , 121.29 ,花蓮縣政府南南西方  70.0  公里 ,2級,3.8,11.4
,2023-01-22,06:13,北緯 24.43 ° 東經 121.91 °, 24.43 , 121.91 ,宜蘭縣政府南南東方  36.5  公里 ,3級,3.6,13.4
,2023-01-21,14:05,北緯 24.38 ° 東經 120.86 °, 24.38 , 120.86 ,苗栗縣政府南方  20.9  公里 ,2級,3.6,5.4
,2023-01-21,14:04,北緯 23.26 ° 東經 121.24 °, 23.26 , 121.24 ,花蓮縣政府南南西方  89.5  公里 ,2級,3.6,16.8
,2023-01-21,08:05,北緯 23.78 ° 東經 121.77 °, 23.78 , 121.77 ,花蓮縣政府東南方  27.5  公里 ,2級,4.1,15.9
,2023-01-20,17:24,北緯 23.25 ° 東經 120.27 °, 23.25 , 120.27 ,臺南市政府北北東方  29.5  公里 ,2級,3.1,14.6
005   ,2023-01-20,10:56,北緯 24.05 ° 東經 121.52 °, 24.05 , 121.52 ,花蓮縣政府西北西方  12.3  公里 ,4級,4.4,19.7
,2023-01-20,02:43,北緯 24.07 ° 東經 121.78 °, 24.07 , 121.78 ,花蓮縣政府東北東方  18.3  公里 ,2級,4.1,32.5
,2023-01-19,10:09,北緯 23.1 ° 東經 121.16 °, 23.1 , 121.16 ,臺東縣政府北方  37.8  公里 ,2級,3.7,13.8
,2023-01-16,22:03,北緯 24.01 ° 東經 122.33 °, 24.01 , 122.33 ,花蓮縣政府東方  71.9  公里 ,1級,4.7,23.4
,2023-01-15,15:48,北緯 24.91 ° 東經 121.16 °, 24.91 , 121.16 ,桃園市政府西南西方  16.9  公里 ,2級,3.1,4.2
,2023-01-15,03:40,北緯 25.19 ° 東經 122.58 °, 25.19 , 122.58 ,基隆市政府東方  84.7  公里 ,2級,5.3,171.1
,2023-01-14,14:02,北緯 23.84 ° 東經 121.69 °, 23.84 , 121.69 ,花蓮縣政府南南東方  18.5  公里 ,3級,3.9,21.7
,2023-01-14,00:41,北緯 24.32 ° 東經 121.7 °, 24.32 , 121.7 ,花蓮縣政府北北東方  37.5  公里 ,2級,3.2,8.0
